GOid	Genes
GO:0009987	['ABCB11', 'ABCC2', 'ABCG5', 'ACAD11', 'ACADS', 'ACOT6', 'ACOX3', 'ACOXL', 'ACSL5', 'ACSM5', 'ACYP2', 'ADAM15', 'ADAM7', 'ADAMTS4', 'ADAMTS5', 'ADGRG1', 'ADGRG6', 'ADGRL4', 'ADGRV1', 'AGER', 'AIF1', 'AKAP7', 'AKR1A1', 'AKR1C4', 'ALDH5A1', 'ALPK2', 'AMOTL1', 'AMZ2', 'ANGPTL4', 'ANKRD9', 'ANO7', 'ANO9', 'ANXA1', 'ANXA9', 'APOL3', 'ARHGAP45', 'ARHGEF11', 'ARHGEF18', 'ARHGEF28', 'ARMC3', 'ARSA', 'ARSG', 'ASB18', 'ATAD5', 'ATG9A', 'ATP10A', 'ATP11A', 'ATP13A2', 'ATP6V0A2', 'ATP6V0A4', 'ATR', 'B3GNT8', 'BACE1', 'BBS2', 'BCL2L10', 'BLVRA', 'BRD8', 'BRF1', 'BST1', 'BTNL8', 'BYSL', 'C10orf90', 'C3', 'CABP2', 'CACNG1', 'CALCOCO1', 'CASP5', 'CASP7', 'CASR', 'CC2D1A', 'CCAR2', 'CCDC146', 'CCDC42', 'CCN6', 'CCR6', 'CD27', 'CD300E', 'CD68', 'CDA', 'CDH2', 'CEMIP2', 'CENPF', 'CENPQ', 'CEP89', 'CEPT1', 'CERS4', 'CFAP44', 'CFAP61', 'CFAP65', 'CFB', 'CFHR5', 'CHAF1A', 'CHD3', 'CHD4', 'CHGB', 'CHN2', 'CHRD', 'CLCN6', 'CLEC4F', 'CLNK', 'CLPTM1L', 'CNOT2', 'CNTRL', 'COA1', 'COG7', 'COL25A1', 'COL27A1', 'COL4A1', 'COL5A3', 'COL6A5', 'COL6A6', 'COL7A1', 'COPS3', 'COQ6', 'CPEB4', 'CTCFL', 'CUL1', 'CWH43', 'CYBA', 'CYP4V2', 'DALRD3', 'DCAF12', 'DDIAS', 'DDX28', 'DECR2', 'DENND4C', 'DERL1', 'DGKH', 'DHX37', 'DIDO1', 'DIS3L', 'DLG5', 'DMAC2', 'DMKN', 'DMRT3', 'DNAAF4', 'DNAH1', 'DNAH10', 'DNAH11', 'DNAH14', 'DNAH5', 'DOCK4', 'DOCK5', 'DOCK8', 'DPAGT1', 'DPP3', 'ECHS1', 'EGLN1', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'EIF2B5', 'ELF1', 'ELOB', 'EML2', 'EML4', 'ENAM', 'ENGASE', 'EPHB3', 'ERAP1', 'ERCC2', 'ETAA1', 'ETFA', 'EXO1', 'EXOC3L4', 'EXPH5', 'EZR', 'F13A1', 'FAM135A', 'FAM13A', 'FAM76B', 'FAN1', 'FARP1', 'FASTKD3', 'FAT1', 'FBN3', 'FBP2', 'FBXO24', 'FBXO25', 'FBXO38', 'FBXO7', 'FCER2', 'FCRL5', 'FECH', 'FGD4', 'FGF6', 'FGFR4', 'FHAD1', 'FKBP15', 'FLT3', 'FLT3LG', 'FOXM1', 'FUT1', 'FUT2', 'GABRR2', 'GAK', 'GARIN1A', 'GATC', 'GCKR', 'GDPD4', 'GDPGP1', 'GEMIN5', 'GHRHR', 'GIT1', 'GLCE', 'GLI1', 'GLIS3', 'GMPR2', 'GNL1', 'GOSR2', 'GP6', 'GPRIN3', 'GSKIP', 'GSTA2', 'GTF3C2', 'H1-2', 'H1-6', 'HASPIN', 'HDAC7', 'HEATR1', 'HERPUD2', 'HFE', 'HGFAC', 'HHEX', 'HHLA2', 'HIC1', 'HKDC1', 'HLA-DMA', 'HLX', 'HNRNPH1', 'HR', 'HTT', 'HYAL3', 'ID3', 'IDI2', 'IFIH1', 'IFNK', 'IFT140', 'IFT88', 'IGDCC4', 'IGSF10', 'IHO1', 'IL12RB1', 'IL1F10', 'IL27', 'IL2RB', 'IL3', 'IL34', 'IL4R', 'IMP4', 'IQGAP2', 'ITGA8', 'ITGB3', 'ITSN2', 'KANSL1', 'KCNE4', 'KCNG4', 'KDELR3', 'KIAA0753', 'KIF4B', 'KLHL40', 'KLHL41', 'KLKB1', 'KRR1', 'LACC1', 'LBR', 'LILRA4', 'LNPEP', 'LONP1', 'LRCH4', 'LRRC8C', 'LRRCC1', 'LTBP3', 'LTF', 'LVRN', 'MACF1', 'MAP4K5', 'MAPDA', 'MARCHF8', 'MAST2', 'MAVS', 'MC3R', 'MCPH1', 'MEF2A', 'MEP1B', 'METTL22', 'MICAL3', 'MITF', 'MKI67', 'MLH1', 'MMP14', 'MOCOS', 'MORN3', 'MPDU1', 'MPHOSPH6', 'MPP7', 'MRPL23', 'MRPL28', 'MST1R', 'MTF1', 'MTHFR', 'MTMR6', 'MUSK', 'MYBL2', 'MYC', 'MYH13', 'MYLK3', 'MYO18B', 'MYO7A', 'MYO9B', 'MYOM2', 'MYOM3', 'NACAD', 'NAP1L4', 'NAV2', 'NCAM2', 'NCKAP5', 'NCOA3', 'NCR1', 'NCR3', 'NDC80', 'NDUFAF1', 'NEK11', 'NEXN', 'NIBAN1', 'NME8', 'NOD1', 'NOP16', 'NOP2', 'NOS1AP', 'NPHS1', 'NUF2', 'NUP153', 'NUP210L', 'OLFML1', 'OPLAH', 'OPRD1', 'OPRM1', 'OR10P1', 'OR2AG2', 'OR2G2', 'OR52B6', 'OR5B12', 'OR5M11', 'OR6N1', 'OR7A10', 'OR7G2', 'OTOG', 'OTOP3', 'OVOL2', 'P3H4', 'PADI2', 'PADI4', 'PALM2AKAP2', 'PANX1', 'PAPLN', 'PARD3B', 'PARP1', 'PARP10', 'PARP14', 'PASK', 'PBK', 'PCDHB7', 'PCNT', 'PDE3A', 'PDE4A', 'PDE5A', 'PDILT', 'PELO', 'PGPEP1L', 'PHIP', 'PKMYT1', 'PLA2R1', 'PLBD1', 'PLCB3', 'PML', 'PNPLA1', 'POFUT1', 'POLI', 'POLR3E', 'POMT1', 'PPL', 'PPP1R15A', 'PRICKLE2', 'PRIM1', 'PRKDC', 'PRRC2C', 'PRRG2', 'PTPA', 'PTPN22', 'PTPRA', 'PTPRH', 'QPCTL', 'QSOX1', 'RAG1', 'RAI14', 'RALGAPA2', 'RAPGEF6', 'REST', 'RFWD3', 'RHOBTB3', 'RIN3', 'RMDN1', 'RNF213', 'RNF43', 'RNPEP', 'RPA1', 'RSPH9', 'RSRP1', 'RTEL1', 'RYR3', 'SAMD9', 'SCARB1', 'SCN5A', 'SCRN3', 'SDK1', 'SDR42E1', 'SELE', 'SELP', 'SEMA6A', 'SERPINB6', 'SESN1', 'SETDB2', 'SGK2', 'SGSM2', 'SH3RF2', 'SHARPIN', 'SIGLEC1', 'SIRPG', 'SKAP2', 'SLC12A7', 'SLC16A10', 'SLC18B1', 'SLC22A14', 'SLC22A16', 'SLC22A23', 'SLC24A1', 'SLC25A32', 'SLC25A37', 'SLC2A7', 'SLC2A9', 'SLC4A2', 'SLC5A6', 'SLC6A13', 'SLC6A5', 'SLC7A9', 'SLC8A2', 'SLCO1B1', 'SLF1', 'SLFN12', 'SLFN14', 'SLIT2', 'SMARCAD1', 'SMG6', 'SMPDL3B', 'SMYD4', 'SNCA', 'SNIP1', 'SORCS2', 'SPAG17', 'SPATA16', 'SPHK1', 'SPINK5', 'SPRR3', 'SPTB', 'ST3GAL4', 'STAB2', 'STAT1', 'STK17A', 'STK36', 'STN1', 'STON2', 'STX1B', 'SYNE1', 'SYTL1', 'SZT2', 'TAF1B', 'TAOK3', 'TASOR2', 'TBC1D32', 'TBC1D4', 'TBC1D5', 'TBL1XR1', 'TBL2', 'TEAD4', 'TEK', 'TELO2', 'TET1', 'TET2', 'TF', 'THADA', 'THRA', 'TICRR', 'TLR6', 'TMCO3', 'TMEM70', 'TMEM86B', 'TMPRSS12', 'TMPRSS6', 'TNFSF14', 'TNK1', 'TOP1MT', 'TP53RK', 'TRAF3IP2', 'TRAF3IP3', 'TRAP1', 'TRIM25', 'TRIM41', 'TRPM1', 'TSEN54', 'TSPO', 'TTLL12', 'TUBB1', 'UBQLN4', 'ULK4', 'UNC5CL', 'URB2', 'UTP6', 'VCP', 'VLDLR', 'VPS13C', 'VPS35L', 'VPS8', 'VRK2', 'VSIG10', 'WDR12', 'WNK1', 'WWC2', 'XAF1', 'XPO4', 'XRCC4', 'YDJC', 'YME1L1', 'ZAN', 'ZDHHC4', 'ZDHHC6', 'ZFPL1', 'ZFYVE27', 'ZGLP1', 'ZHX3', 'ZNF335', 'ZNF385B']
GO:0015721	['ABCB11']
GO:0042592	['ABCB11', 'ABCG5', 'ADGRG1', 'AGER', 'ANGPTL4', 'ANKRD9', 'ANXA1', 'ARSG', 'ATP13A2', 'ATP6V0A2', 'ATP6V0A4', 'CASR', 'CDH2', 'CLCN6', 'CYBA', 'EGLN1', 'EIF2AK1', 'FBN3', 'FECH', 'FGFR4', 'FLT3', 'FUT1', 'GCKR', 'GHRHR', 'GIT1', 'HFE', 'HKDC1', 'LACC1', 'MALRD1', 'MC3R', 'MTF1', 'MYC', 'MYCT1', 'PASK', 'PML', 'PNPLA1', 'RAG1', 'RPA1', 'RYR3', 'SCARB1', 'SLC12A7', 'SLC24A1', 'SLC4A2', 'SLC8A2', 'TBL1XR1', 'TF', 'THADA', 'TMPRSS6', 'TNFSF14', 'TRAF3IP2', 'TSPO', 'UBAP2', 'WNK1']
GO:0008152	['ABCB11', 'ABCC2', 'ACAD11', 'ACADS', 'ACOT6', 'ACOX3', 'ACOXL', 'ACSL5', 'ACSM5', 'ACYP2', 'ADAM15', 'ADAM7', 'ADAMTS4', 'ADAMTS5', 'ADGRV1', 'AGER', 'AKR1A1', 'AKR1C4', 'ALDH5A1', 'AMZ2', 'ANGPTL4', 'ANKRD9', 'ANO9', 'ANXA1', 'APOL3', 'ARMC3', 'ARSA', 'ARSG', 'ASB18', 'ATAD5', 'ATG9A', 'ATP13A2', 'ATR', 'B3GNT8', 'BACE1', 'BBS2', 'BLVRA', 'BRF1', 'BYSL', 'C10orf90', 'C3', 'CASP5', 'CASP7', 'CCAR2', 'CCDC146', 'CCR6', 'CDA', 'CEMIP2', 'CENPF', 'CEPT1', 'CERS4', 'CFB', 'CHAF1A', 'CHD4', 'CNOT2', 'COG7', 'COPS3', 'COQ6', 'CPEB4', 'CUL1', 'CWH43', 'CYBA', 'CYP4V2', 'DALRD3', 'DCAF12', 'DECR2', 'DERL1', 'DGKH', 'DHX37', 'DIDO1', 'DIS3L', 'DMAC2', 'DPAGT1', 'DPP3', 'ECHS1', 'EHMT2', 'EIF2AK1', 'EIF2AK2', 'EIF2AK4', 'EIF2B5', 'ELOB', 'ENGASE', 'EPHB3', 'ERAP1', 'ERCC2', 'ETAA1', 'ETFA', 'EXO1', 'F13A1', 'FAM135A', 'FAN1', 'FASTKD3', 'FBN3', 'FBP2', 'FBXO24', 'FBXO25', 'FBXO38', 'FBXO7', 'FECH', 'FGFR4', 'FLT3', 'FOXM1', 'FUT1', 'FUT2', 'GATC', 'GCKR', 'GDPD4', 'GDPGP1', 'GEMIN5', 'GHRHR', 'GLCE', 'GLIS3', 'GMPR2', 'GSTA2', 'GTF3C2', 'HASPIN', 'HDAC7', 'HEATR1', 'HFE', 'HGFAC', 'HKDC1', 'HNRNPH1', 'HYAL3', 'IDI2', 'IFIH1', 'IHO1', 'IMP4', 'ITGB3', 'KLHL40', 'KLHL41', 'KLKB1', 'KRR1', 'LBR', 'LNPEP', 'LONP1', 'LTF', 'LVRN', 'MAPDA', 'MARCHF8', 'MAST2', 'MAVS', 'MEF2A', 'MEP1B', 'METTL22', 'MLH1', 'MMP14', 'MOCOS', 'MPDU1', 'MPHOSPH6', 'MRPL23', 'MRPL28', 'MTF1', 'MTHFR', 'MTMR6', 'MYC', 'NCOA3', 'NDUFAF1', 'NEK11', 'NME8', 'NOD1', 'NOP2', 'NOS1AP', 'NPHS1', 'NUP153', 'OPLAH', 'OTOG', 'P3H4', 'PADI4', 'PARP1', 'PARP10', 'PARP14', 'PASK', 'PBK', 'PDE3A', 'PDE4A', 'PDE5A', 'PELO', 'PGPEP1L', 'PLA2R1', 'PLBD1', 'PLCB3', 'PML', 'PNPLA1', 'POFUT1', 'POLI', 'POLR3E', 'POMT1', 'PRIM1', 'PRKDC', 'PRRG2', 'PTPN22', 'PTPRH', 'QPCTL', 'RAG1', 'RFWD3', 'RHOBTB3', 'RNF213', 'RNF43', 'RNPEP', 'RPA1', 'RTEL1', 'SCARB1', 'SCRN3', 'SDR42E1', 'SESN1', 'SETDB2', 'SGK2', 'SH3RF2', 'SHARPIN', 'SLC16A10', 'SLC25A32', 'SLC2A9', 'SLC5A6', 'SLCO1B1', 'SLF1', 'SLFN12', 'SLFN14', 'SMARCAD1', 'SMG6', 'SMPDL3B', 'SMYD4', 'SNCA', 'SNIP1', 'SPHK1', 'ST3GAL4', 'STAB2', 'STK17A', 'STK36', 'STN1', 'TAF1B', 'TAOK3', 'TBC1D5', 'TBL1XR1', 'TEAD4', 'TET1', 'TET2', 'THADA', 'THRA', 'TICRR', 'TLR6', 'TMEM86B', 'TMPRSS12', 'TMPRSS6', 'TNK1', 'TOP1MT', 'TP53RK', 'TRAF3IP2', 'TRIM25', 'TRIM41', 'TSEN54', 'TSPO', 'UBQLN4', 'UTP6', 'VCP', 'VLDLR', 'VRK2', 'WDR12', 'WNK1', 'XAF1', 'XPO4', 'XRCC4', 'YDJC', 'YME1L1']
GO:0015850	['ABCB11', 'ABCC2', 'ABCG5', 'AKR1C4', 'SCARB1', 'SLC18B1', 'SLCO1B1', 'SNCA', 'TSPO']
GO:0008206	['ABCB11', 'AKR1C4']
GO:0044283	['ABCB11', 'ACSM5', 'AKR1C4', 'COQ6', 'DECR2', 'FBP2', 'IDI2', 'LBR', 'MAPDA', 'MTHFR', 'SPHK1']
GO:0015718	['ABCB11', 'ABCC2', 'AKR1C4', 'ANXA1', 'CASR', 'SLC5A6', 'SLC6A13', 'SLCO1B1']
GO:0009894	['ABCB11', 'ATP13A2', 'ATP6V0A2', 'CCAR2', 'CUL1', 'DCAF12', 'DNAAF4', 'EGLN1', 'EHMT2', 'EIF2AK1', 'ELOB', 'EZR', 'FAM76B', 'FASTKD3', 'FBXO38', 'FBXO7', 'FUT1', 'GIT1', 'HFE', 'HTT', 'KLHL40', 'NOD1', 'PBK', 'PML', 'PTPN22', 'QSOX1', 'SCARB1', 'SESN1', 'SH3RF2', 'SNCA', 'TF', 'THRA', 'TRAF3IP2', 'TSPO', 'UBQLN4', 'VCP', 'VPS13C', 'WNK1', 'ZC3HAV1']
GO:0032890	['ABCB11', 'ACSL5', 'PLA2R1', 'SNCA']
